# BEGIN interval_us=1000 steps=247500 dir=1 micro=32 accbits=13 preroll=2000
step,adc
000000,04074
000001,04075
000002,04072
000003,04072
000004,04074
000005,04073
000006,04072
000007,04074
000008,04073
000009,04070
000010,04071
000011,04070
000012,04074
000013,04070
000014,04072
000015,04073
000016,04072
000017,04073
000018,04072
000019,04075
000020,04073
000021,04073
000022,04069
000023,04073
000024,04074
000025,04074
000026,04068
000027,04072
000028,04072
000029,04073
000030,04072
000031,04073
000032,04072
000033,04072
000034,04072
000035,04074
000036,04073
000037,04071
000038,04072
000039,04073
000040,04075
000041,04072
000042,04071
000043,04072
000044,04073
000045,04066
000046,04073
000047,04072
000048,04074
000049,04072
000050,04073
000051,04074
000052,04071
000053,04071
000054,04072
000055,04073
000056,04071
000057,04073
000058,04073
000059,04074
000060,04072
000061,04076
000062,04073
000063,04074
000064,04077
000065,04072
000066,04072
000067,04067
000068,04073
000069,04072
000070,04072
000071,04072
000072,04072
000073,04073
000074,04070
000075,04074
000076,04073
000077,04072
000078,04073
000079,04073
000080,04073
000081,04073
000082,04072
000083,04071
000084,04072
000085,04072
000086,04076
000087,04073
000088,04073
000089,04073
000090,04073
000091,04073
000092,04073
000093,04073
000094,04075
000095,04074
000096,04072
000097,04072
000098,04073
000099,04073
000100,04071
000101,04068
000102,04074
000103,04072
000104,04074
000105,04072
000106,04072
000107,04073
000108,04074
000109,04071
000110,04071
000111,04073
000112,04072
000113,04074
000114,04072
000115,04074
000116,04072
000117,04072
000118,04072
000119,04074
000120,04072
000121,04071
000122,04069
000123,04072
000124,04072
000125,04070
000126,04074
000127,04072
000128,04072
000129,04075
000130,04073
000131,04074
000132,04070
000133,04073
000134,04073
000135,04075
000136,04074
000137,04072
000138,04073
000139,04072
000140,04068
000141,04072
000142,04073
000143,04073
000144,04070
000145,04073
000146,04067
000147,04071
000148,04074
000149,04073
000150,04071
000151,04073
000152,04067
000153,04075
000154,04075
000155,04075
000156,04071
000157,04071
000158,04070
000159,04072
000160,04074
000161,04072
000162,04075
000163,04073
000164,04073
000165,04073
000166,04072
000167,04073
000168,04075
000169,04074
000170,04070
000171,04072
000172,04073
000173,04075
000174,04071
000175,04071
000176,04068
000177,04072
000178,04073
000179,04071
000180,04074
000181,04073
000182,04075
000183,04073
000184,04077
000185,04073
000186,04074
000187,04073
000188,04074
000189,04072
000190,04072
000191,04072
000192,04073
000193,04072
000194,04073
000195,04073
000196,04073
000197,04073
000198,04072
000199,04072
000200,04072
000201,04071
000202,04075
000203,04073
000204,04075
000205,04072
000206,04070
000207,04071
000208,04072
000209,04072
000210,04073
000211,04072
000212,04073
000213,04072
000214,04075
000215,04073
000216,04072
000217,04071
000218,04075
000219,04072
000220,04071
000221,04071
000222,04073
000223,04070
000224,04072
000225,04072
000226,04072
000227,04074
000228,04072
000229,04072
000230,04072
000231,04074
000232,04072
000233,04071
000234,04071
000235,04073
000236,04074
000237,04071
000238,04071
000239,04074
000240,04074
000241,04071
000242,04071
000243,04073
000244,04074
000245,04074
000246,04073
000247,04074
000248,04073
000249,04073
000250,04073
000251,04073
000252,04072
000253,04071
000254,04071
000255,04071
000256,04071
000257,04072
000258,04071
000259,04072
000260,04069
000261,04068
000262,04073
000263,04071
000264,04073
000265,04073
000266,04071
000267,04074
000268,04072
000269,04073
000270,04076
000271,04072
000272,04072
000273,04067
000274,04071
000275,04072
000276,04073
000277,04072
000278,04072
000279,04073
000280,04073
000281,04074
000282,04077
000283,04072
000284,04073
000285,04069
000286,04074
000287,04069
000288,04074
000289,04072
000290,04073
000291,04073
000292,04073
000293,04076
000294,04073
000295,04074
000296,04073
000297,04072
000298,04074
000299,04072
000300,04072
000301,04072
000302,04072
000303,04074
000304,04073
000305,04074
000306,04073
000307,04071
000308,04072
000309,04071
000310,04072
000311,04072
000312,04073
000313,04073
000314,04072
000315,04076
000316,04073
000317,04072
000318,04075
000319,04071
000320,04073
000321,04071
000322,04072
000323,04074
000324,04072
000325,04072
000326,04072
000327,04071
000328,04076
000329,04072
000330,04072
000331,04072
000332,04071
000333,04072
000334,04070
000335,04074
000336,04073
000337,04076
000338,04071
000339,04072
000340,04073
000341,04071
000342,04074
000343,04072
000344,04071
000345,04070
000346,04072
000347,04072
000348,04075
000349,04073
000350,04072
000351,04076
000352,04072
000353,04072
000354,04071
000355,04069
000356,04073
000357,04072
000358,04071
000359,04073
000360,04073
000361,04071
000362,04073
000363,04073
000364,04075
000365,04071
000366,04072
000367,04070
000368,04072
000369,04072
000370,04071
000371,04072
000372,04072
000373,04070
000374,04073
000375,04073
000376,04070
000377,04071
000378,04073
000379,04073
000380,04073
000381,04073
000382,04071
000383,04076
000384,04074
000385,04071
000386,04073
000387,04071
000388,04072
000389,04073
000390,04072
000391,04074
000392,04072
000393,04073
000394,04072
000395,04074
000396,04072
000397,04074
000398,04073
000399,04074
000400,04072
000401,04076
000402,04069
000403,04072
000404,04072
000405,04074
000406,04074
000407,04074
000408,04073
000409,04073
000410,04073
000411,04075
000412,04071
000413,04072
000414,04072
000415,04074
000416,04072
000417,04072
000418,04073
000419,04073
000420,04072
000421,04073
000422,04073
000423,04072
000424,04073
000425,04070
000426,04073
000427,04072
000428,04072
000429,04074
000430,04067
000431,04073
000432,04072
000433,04073
000434,04072
000435,04072
000436,04071
000437,04073
000438,04072
000439,04075
000440,04072
000441,04072
000442,04072
000443,04071
000444,04073
000445,04072
000446,04072
000447,04070
000448,04072
000449,04072
000450,04072
000451,04072
000452,04073
000453,04074
000454,04071
000455,04075
000456,04071
000457,04073
000458,04072
000459,04073
000460,04072
000461,04072
000462,04073
000463,04073
000464,04071
000465,04068
000466,04072
000467,04073
000468,04073
000469,04072
000470,04072
000471,04072
000472,04071
000473,04072
000474,04073
000475,04073
000476,04072
000477,04070
000478,04072
000479,04071
000480,04071
000481,04073
000482,04072
000483,04071
000484,04073
000485,04073
000486,04073
000487,04069
000488,04071
000489,04069
000490,04073
000491,04073
000492,04072
000493,04072
000494,04072
000495,04072
000496,04071
000497,04072
000498,04072
000499,04074
000500,04073
000501,04075
000502,04073
000503,04072
000504,04069
000505,04072
000506,04072
000507,04072
000508,04073
000509,04071
000510,04072
000511,04071
000512,04072
000513,04076
000514,04070
000515,04072
000516,04072
000517,04075
000518,04067
000519,04073
000520,04072
000521,04072
000522,04071
000523,04072
000524,04075
000525,04073
000526,04072
000527,04070
000528,04074
000529,04072
000530,04070
000531,04073
000532,04073
000533,04069
000534,04071
000535,04073
000536,04072
000537,04071
000538,04072
000539,04073
000540,04072
000541,04073
000542,04073
000543,04071
000544,04072
000545,04075
000546,04071
000547,04072
000548,04072
000549,04068
000550,04072
000551,04071
000552,04072
000553,04072
000554,04072
000555,04071
000556,04073
000557,04072
000558,04071
000559,04072
000560,04071
000561,04071
000562,04071
000563,04071
000564,04073
000565,04072
000566,04074
000567,04072
000568,04074
000569,04070
000570,04072
000571,04073
000572,04074
000573,04071
000574,04073
000575,04072
000576,04071
000577,04073
000578,04072
